t_pc,sample_idx,force
11363.672946521,65,0.013
11364.111206524,66,0.0316
11364.553391896,67,0.0722
11364.991760909,68,0.0641
11365.430575521,69,0.0828
11365.872375808,70,0.0679
11366.310696921,71,0.0745
11366.75298317,72,0.0778
11367.191208731,73,0.0688
11367.633513949,74,0.073
11368.071895524,75,0.0761
11368.510134994,76,0.0823
11368.952439384,77,0.0854
11369.390775182,78,0.0828
11369.83310808,79,0.0514
11370.271310195,80,0.0368
11370.713614256,81,0.0336
11371.151932095,82,0.0436
11371.590247715,83,0.0301
11372.032712853,84,0.0296
11372.470862719,85,0.0315
11372.913184164,86,0.0259
11373.35142658,87,0.0267
11373.793696266,88,0.0218
11374.232133346,89,0.0328
11374.670365955,90,0.0238
11375.112660891,91,0.0211
11375.550908534,92,0.0216
11375.993266412,93,0.0003
11376.431569501,94,-0.0086
11376.873854209,95,0.0237
11377.312185718,96,0.0481
11377.750410242,97,0.0668
11378.192828372,98,0.078
11378.631020685,99,0.0861
11379.073367808,100,0.0977
11379.511707934,101,0.0915
11379.953859919,102,0.0943
11380.392272775,103,0.1106
11380.830519987,104,0.1209
11381.272903119,105,0.1327
11381.711085905,106,0.1197
11382.153438568,107,0.117
11382.591783845,108,0.0919
11383.033943721,109,0.0667
11383.472376293,110,0.0857
11383.910597302,111,0.0827
11384.352979081,112,0.0838
11384.791236473,113,0.0683
11385.23346425,114,0.0558
11385.671874321,115,0.0387
11386.110085355,116,0.0426
11386.552439933,117,0.0559
11386.990687354,118,0.076
11387.43312748,119,0.067
11387.871404605,120,0.0617
11388.309623597,121,0.0812
11388.752058473,122,0.0867
11389.190261287,123,0.1168
11389.63264027,124,0.1312
11390.070861,125,0.1379
11390.513066222,126,0.1825
11390.951405607,127,0.1286
11391.389647584,128,0.1687
11391.832014528,129,0.1844
11392.27024928,130,0.3031
11392.71248074,131,0.5722
11393.15090749,132,1.1667
11393.589132161,133,2.972
11394.031852792,134,30.0572
11394.470112974,135,66.3076
11394.912126728,136,101.1194
11395.350428985,137,134.2621
11395.789041532,138,164.5382
11396.231023477,139,195.8585
11396.669272434,140,-6.1195
11397.111469012,141,-37.6513
11397.551039362,142,-37.7084
