t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z
19582.958758701,1775743779.7883666,82093,78.9000015258789,-36.75,-1436.7540283203125,365.1000061035156,-827.2500610351562,-1412.553955078125,-792.300048828125,404.8500061035156,-1213.14599609375,-80.4000015258789,-105.1500015258789,-1334.387939453125,67.95000457763672,230.25001525878906,-1282.5999755859375
19582.958824528,1775743779.7884607,82094,79.35000610351562,-36.60000228881836,-1435.0599365234375,364.0500183105469,-831.300048828125,-1408.9239501953125,-790.050048828125,402.9000244140625,-1224.761962890625,-82.5,-107.55000305175781,-1329.3060302734375,66.0,227.40000915527344,-1289.3759765625
19582.958876506,1775743779.7885158,82095,76.5,-36.30000305175781,-1440.384033203125,368.8500061035156,-832.5000610351562,-1414.0059814453125,-792.1500244140625,403.3500061035156,-1216.533935546875,-78.0,-104.55000305175781,-1328.095947265625,62.10000228881836,226.8000030517578,-1289.6180419921875
19582.958915797,1775743779.7885582,82096,72.0,-42.0,-1443.77197265625,360.1500244140625,-829.050048828125,-1426.83203125,-790.9500122070312,402.3000183105469,-1212.6619873046875,-81.0,-105.1500015258789,-1321.3199462890625,62.250003814697266,229.8000030517578,-1283.083984375
19582.96046729,1775743779.7900555,82097,71.70000457763672,-36.60000228881836,-1438.68994140625,366.0,-824.2500610351562,-1417.39404296875,-796.2000122070312,403.8000183105469,-1218.469970703125,-80.55000305175781,-106.95000457763672,-1333.904052734375,63.30000305175781,228.60000610351562,-1284.7779541015625
19582.96254352,1775743779.7921424,82098,79.05000305175781,-44.10000228881836,-1433.6080322265625,369.6000061035156,-826.3500366210938,-1416.1839599609375,-796.050048828125,400.95001220703125,-1216.2919921875,-83.10000610351562,-104.70000457763672,-1327.85400390625,64.35000610351562,224.40000915527344,-1285.261962890625
19582.964654874,1775743779.7942407,82099,73.95000457763672,-41.55000305175781,-1444.98193359375,369.9000244140625,-832.2000122070312,-1422.2340087890625,-796.6500244140625,406.5000305175781,-1226.93994140625,-79.80000305175781,-104.4000015258789,-1329.5479736328125,63.30000305175781,228.45001220703125,-1294.2159423828125
19582.966778578,1775743779.7963877,82100,68.70000457763672,-32.400001525878906,-1434.092041015625,361.6500244140625,-824.2500610351562,-1415.2159423828125,-798.9000244140625,405.9000244140625,-1221.8580322265625,-78.0,-103.6500015258789,-1327.85400390625,62.250003814697266,230.25001525878906,-1286.22998046875
19582.968903175,1775743779.7985091,82101,73.20000457763672,-34.05000305175781,-1441.8359375,365.70001220703125,-831.4500122070312,-1410.3759765625,-796.9500122070312,398.1000061035156,-1220.8900146484375,-84.75,-105.30000305175781,-1333.904052734375,67.35000610351562,228.00001525878906,-1296.1519775390625
19582.971037088,1775743779.8006377,82102,68.55000305175781,-33.60000228881836,-1443.2879638671875,371.4000244140625,-828.300048828125,-1420.0560302734375,-790.2000122070312,405.7500305175781,-1220.64794921875,-78.0,-108.30000305175781,-1334.8719482421875,60.150001525878906,232.35000610351562,-1282.115966796875
