t_pc,sample_idx,force
624006.006211408,185,-25.2067
624006.448503019,186,-28.2272
624006.886744265,187,-29.1319
624007.329097629,188,-29.446
624007.771345564,189,-26.7595
624008.209701865,190,-28.6583
624008.652536998,191,-146.2883
624009.090340703,192,-223.527
624009.532706848,193,-118.6043
624009.970921895,194,5.1219
624010.413230894,195,8.6179
624010.855475675,196,9.6148
624011.293855693,197,9.0557
624011.736152063,198,9.329
624012.174533002,199,9.3164
624012.616837785,200,9.6012
624013.055184332,201,9.2761
624013.497453421,202,10.4025
624013.935735021,203,9.6705
624014.378113335,204,9.3975
624014.820344147,205,8.6744
624015.258740981,206,7.1408
624015.701055931,207,9.6196
624016.139305382,208,9.8257
624016.58166475,209,10.6047
624017.019934873,210,9.6778
624017.462373059,211,8.5095
624017.905105531,212,8.6175
624018.34284411,213,10.4771
624018.785165721,214,8.695
624019.223542075,215,9.151
624019.665817927,216,8.9741
624020.104698855,217,9.4169
624020.546390734,218,9.8408
624020.988731605,219,8.8947
624021.427079417,220,9.7453
624021.869488961,221,10.0197
624022.308097578,222,7.4293
624022.749983992,223,9.9773
624023.188261489,224,8.6041
624023.630642301,225,9.3196
624024.072847367,226,9.1112
624024.511763039,227,8.2645
624024.953621541,228,14.2404
624025.391907922,229,13.9123
624025.834291629,230,11.1946
624026.27250587,231,10.2889
624026.714870479,232,12.894
624027.157076047,233,9.5999
624027.595452375,234,9.5415
624028.039075196,235,10.4144
624028.476049083,236,13.1359
624028.918329675,237,9.3716
624029.356619833,238,8.2994
624029.799074218,239,8.7348
624030.237269282,240,9.2128
624030.680060567,241,9.4755
624031.121879352,242,9.4811
624031.560257644,243,8.9369
624032.002514511,244,8.474
624032.441061608,245,9.4551
624032.883179866,246,7.1577
624033.321377796,247,8.522
624033.763778261,248,8.4653
624034.205988709,249,8.7246
624034.644406602,250,8.9614
624035.086712294,251,8.1013
624035.52517895,252,8.699
624035.96736989,253,8.354
624036.405571526,254,8.4552
624036.848033224,255,8.615
624037.286199938,256,8.5357
624037.728614576,257,7.7184
624038.170816122,258,8.9937
624038.609196219,259,9.2992
624039.05229398,260,9.1208
624039.4898229,261,9.5779
624039.932262216,262,9.5208
624040.370443262,263,10.4968
624040.812799453,264,10.4586
624041.25506714,265,10.7376
624041.693378674,266,9.5144
624042.135696688,267,9.7331
624042.574085238,268,10.7865
624043.016340567,269,10.2448
624043.454620264,270,11.1814
624043.896988984,271,10.7331
624044.339250253,272,10.131
624044.779069458,273,11.1426
624045.219908155,274,9.5472
624045.65812686,275,9.2418
624046.100548642,276,11.0062
624046.538807999,277,10.8683
624046.981476754,278,9.7372
624047.423423998,279,11.0754
624047.861740712,280,10.7005
624048.304196035,281,10.5941
624048.743532762,282,11.9709
624049.184693758,283,10.7395
624049.622956652,284,10.2058
624050.065287307,285,12.4221
624050.507579934,286,8.7246
624050.945901637,287,11.6727
624051.388262628,288,9.4727
624051.826517821,289,9.5984
624052.26887078,290,10.5104
624052.707158772,291,8.8569
624053.149501166,292,8.648
624053.591716057,293,9.4173
624054.030139735,294,10.8299
624054.472377762,295,10.1525
624054.910704023,296,9.9448
624055.353086998,297,10.3299
624055.791343304,298,10.0557
624056.233676264,299,9.7314
624056.67595978,300,12.2894
624057.114298451,301,10.3509
624057.556699204,302,12.4033
624057.995034169,303,12.8646
624058.437212947,304,11.0062
624058.875588644,305,10.4881
624059.318058062,306,9.6921
624059.760175168,307,10.1211
624060.198503133,308,11.7907
624060.640817206,309,12.3253
624061.079100544,310,12.5326
624061.521470983,311,10.9636
624061.959673869,312,10.9371
624062.402030598,313,25.2731
624062.844313705,314,57.5529
624063.282669674,315,92.3928
624063.725067635,316,130.8402
624064.163307358,317,132.3777
624064.60578496,318,-24.3643
624065.043844912,319,-27.0515
624065.488484524,320,-27.0319
