t_pc,t_sensor,sample_idx,m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z,m3_x,m3_y,m3_z,m4_x,m4_y,m4_z
15658.77654763,1776084870.4116957,37209,107.55000305175781,-63.30000305175781,-1455.8719482421875,454.6500244140625,-861.300048828125,-1463.8580322265625,-745.800048828125,447.3000183105469,-1203.2239990234375,-150.45001220703125,-64.05000305175781,-1345.0360107421875,49.95000076293945,227.70001220703125,-1321.56201171875
15658.776597179,1776084870.4121325,37210,101.70000457763672,-69.75,-1455.8719482421875,442.8000183105469,-855.0000610351562,-1472.0859375,-742.2000122070312,441.6000061035156,-1207.095947265625,-148.20001220703125,-67.80000305175781,-1339.9539794921875,52.35000228881836,230.40000915527344,-1312.8499755859375
15658.776765706,1776084870.412169,37211,104.10000610351562,-72.75,-1469.1820068359375,447.0000305175781,-859.2000122070312,-1467.0040283203125,-736.9500122070312,442.5000305175781,-1209.031982421875,-145.5,-65.10000610351562,-1342.615966796875,42.60000228881836,232.8000030517578,-1314.5439453125
15658.777153844,1776084870.412669,37212,111.30000305175781,-75.9000015258789,-1460.7120361328125,439.6500244140625,-859.9500122070312,-1471.1180419921875,-738.1500244140625,442.5000305175781,-1200.803955078125,-146.25,-69.75,-1334.8719482421875,49.35000228881836,225.3000030517578,-1312.1240234375
15658.779306806,1776084870.4148397,37213,105.30000305175781,-69.1500015258789,-1452.968017578125,435.45001220703125,-861.9000244140625,-1477.89404296875,-738.75,436.0500183105469,-1198.6259765625,-150.90000915527344,-70.95000457763672,-1342.1319580078125,48.60000228881836,228.60000610351562,-1309.4620361328125
15658.781439873,1776084870.4169414,37214,106.20000457763672,-64.80000305175781,-1454.904052734375,437.1000061035156,-860.550048828125,-1481.7659912109375,-737.550048828125,444.6000061035156,-1200.803955078125,-144.75,-64.6500015258789,-1342.8580322265625,46.35000228881836,235.0500030517578,-1310.9139404296875
15658.783473374,1776084870.4190056,37215,102.75000762939453,-66.60000610351562,-1455.14599609375,439.5000305175781,-861.300048828125,-1474.2640380859375,-751.050048828125,434.8500061035156,-1201.2879638671875,-148.95001220703125,-71.25,-1345.761962890625,52.500003814697266,228.60000610351562,-1313.092041015625
15658.785651576,1776084870.4211853,37216,102.9000015258789,-67.20000457763672,-1452.241943359375,437.2500305175781,-853.5000610351562,-1471.1180419921875,-751.9500122070312,437.70001220703125,-1204.676025390625,-147.75,-78.0,-1339.469970703125,48.900001525878906,237.90000915527344,-1317.447998046875
15658.787775035,1776084870.4233136,37217,104.85000610351562,-59.85000228881836,-1454.6619873046875,445.20001220703125,-856.800048828125,-1472.3280029296875,-750.6000366210938,449.8500061035156,-1199.35205078125,-148.5,-72.45000457763672,-1342.1319580078125,50.55000305175781,230.5500030517578,-1304.137939453125
15658.789880771,1776084870.4254167,37218,106.05000305175781,-72.9000015258789,-1456.5980224609375,436.95001220703125,-853.5000610351562,-1473.053955078125,-744.6000366210938,437.4000244140625,-1200.3199462890625,-144.0,-69.45000457763672,-1341.406005859375,50.85000228881836,226.65000915527344,-1311.6400146484375
15658.792072428,1776084870.4275413,37219,105.9000015258789,-68.25,-1452.7259521484375,442.0500183105469,-855.300048828125,-1473.5379638671875,-738.75,441.6000061035156,-1198.384033203125,-142.35000610351562,-66.1500015258789,-1338.501953125,48.150001525878906,231.15000915527344,-1307.7679443359375
15658.794156739,1776084870.4296644,37220,108.75000762939453,-67.35000610351562,-1462.406005859375,438.7500305175781,-857.2500610351562,-1471.60205078125,-738.75,446.8500061035156,-1203.2239990234375,-151.65000915527344,-64.95000457763672,-1342.8580322265625,48.30000305175781,226.95001220703125,-1320.8359375
15658.796264442,1776084870.4317858,37221,109.35000610351562,-70.05000305175781,-1452.4840087890625,447.3000183105469,-861.7500610351562,-1466.761962890625,-736.3500366210938,436.6500244140625,-1202.498046875,-151.95001220703125,-67.35000610351562,-1348.1820068359375,52.500003814697266,233.85000610351562,-1320.593994140625
15658.798408162,1776084870.4339345,37222,105.9000015258789,-68.4000015258789,-1470.3919677734375,439.95001220703125,-852.6000366210938,-1477.4100341796875,-743.8500366210938,446.4000244140625,-1197.1739501953125,-147.45001220703125,-67.05000305175781,-1340.9219970703125,49.35000228881836,225.3000030517578,-1305.3480224609375
15658.80054195,1776084870.4360795,37223,97.6500015258789,-66.30000305175781,-1455.387939453125,439.20001220703125,-858.6000366210938,-1473.2960205078125,-744.9000244140625,442.6500244140625,-1199.35205078125,-148.8000030517578,-65.25,-1333.177978515625,45.45000076293945,228.45001220703125,-1305.5899658203125
15658.802654661,1776084870.438195,37224,104.10000610351562,-72.9000015258789,-1455.14599609375,435.9000244140625,-859.800048828125,-1469.1820068359375,-746.1000366210938,438.7500305175781,-1197.657958984375,-152.5500030517578,-65.70000457763672,-1332.93603515625,50.70000076293945,231.15000915527344,-1316.9639892578125
15658.804751854,1776084870.4402876,37225,109.6500015258789,-69.75,-1462.8900146484375,441.45001220703125,-858.300048828125,-1463.615966796875,-745.3500366210938,445.8000183105469,-1198.1419677734375,-145.0500030517578,-69.75,-1350.1180419921875,55.20000076293945,231.00001525878906,-1308.010009765625
15658.806894986,1776084870.4424245,37226,108.1500015258789,-66.9000015258789,-1455.6300048828125,437.5500183105469,-856.5000610351562,-1475.4739990234375,-750.6000366210938,441.6000061035156,-1202.739990234375,-147.15000915527344,-72.45000457763672,-1342.8580322265625,49.95000076293945,232.65000915527344,-1313.092041015625
15658.80905606,1776084870.4445431,37227,106.35000610351562,-66.1500015258789,-1460.9539794921875,436.6500244140625,-863.1000366210938,-1465.552001953125,-746.8500366210938,435.6000061035156,-1196.9320068359375,-146.40000915527344,-68.70000457763672,-1348.4239501953125,50.55000305175781,234.90000915527344,-1319.8680419921875
15658.811167129,1776084870.4466667,37228,103.05000305175781,-66.75,-1464.342041015625,441.3000183105469,-858.4500122070312,-1473.5379638671875,-748.2000122070312,441.45001220703125,-1201.0460205078125,-148.65000915527344,-67.95000457763672,-1346.488037109375,54.60000228881836,227.25001525878906,-1309.946044921875
15658.813283092,1776084870.4487953,37229,99.30000305175781,-70.35000610351562,-1462.1639404296875,439.8000183105469,-862.6500244140625,-1475.9580078125,-736.6500244140625,444.1500244140625,-1201.530029296875,-151.95001220703125,-71.85000610351562,-1345.761962890625,52.20000076293945,231.00001525878906,-1314.7860107421875
15658.815385507,1776084870.450922,37230,104.25000762939453,-70.35000610351562,-1469.1820068359375,438.6000061035156,-857.1000366210938,-1469.4239501953125,-740.25,437.2500305175781,-1204.91796875,-148.95001220703125,-64.6500015258789,-1341.8900146484375,46.20000076293945,228.15000915527344,-1309.7039794921875
15658.817569386,1776084870.4531066,37231,106.95000457763672,-73.35000610351562,-1459.7440185546875,444.7500305175781,-860.7000122070312,-1477.4100341796875,-740.7000122070312,441.3000183105469,-1198.6259765625,-142.65000915527344,-67.20000457763672,-1336.5660400390625,49.95000076293945,232.8000030517578,-1310.18798828125
15658.819613377,1776084870.4551542,37232,109.05000305175781,-71.4000015258789,-1459.0179443359375,443.4000244140625,-856.050048828125,-1477.4100341796875,-744.6000366210938,441.45001220703125,-1206.85400390625,-146.25,-70.95000457763672,-1340.196044921875,54.60000228881836,230.5500030517578,-1312.8499755859375
15658.8217361,1776084870.4572725,37233,103.05000305175781,-66.30000305175781,-1462.1639404296875,437.70001220703125,-861.4500122070312,-1474.02197265625,-735.9000244140625,438.3000183105469,-1201.2879638671875,-151.5,-66.45000457763672,-1335.5980224609375,47.25,232.20001220703125,-1311.156005859375
15658.823829082,1776084870.4593618,37234,107.85000610351562,-66.0,-1452.7259521484375,439.3500061035156,-865.6500244140625,-1476.199951171875,-747.0,446.5500183105469,-1197.9000244140625,-145.0500030517578,-71.25,-1341.406005859375,57.750003814697266,224.25001525878906,-1309.219970703125
15658.825957225,1776084870.461463,37235,105.60000610351562,-70.5,-1453.6939697265625,443.1000061035156,-864.300048828125,-1465.552001953125,-743.25,440.1000061035156,-1198.8680419921875,-147.60000610351562,-65.55000305175781,-1347.2139892578125,55.35000228881836,233.5500030517578,-1309.4620361328125
15658.827989848,1776084870.4635196,37236,100.80000305175781,-72.30000305175781,-1456.8399658203125,438.9000244140625,-855.4500122070312,-1472.3280029296875,-743.1000366210938,444.3000183105469,-1207.5799560546875,-143.85000610351562,-70.5,-1345.761962890625,47.400001525878906,226.0500030517578,-1306.3160400390625
15658.830179753,1776084870.4657137,37237,100.50000762939453,-70.05000305175781,-1457.323974609375,442.3500061035156,-859.2000122070312,-1479.345947265625,-738.9000244140625,436.20001220703125,-1194.511962890625,-151.35000610351562,-70.95000457763672,-1343.342041015625,44.85000228881836,228.75001525878906,-1318.657958984375
15658.832287126,1776084870.4678264,37238,106.35000610351562,-69.45000457763672,-1464.342041015625,441.9000244140625,-862.3500366210938,-1475.4739990234375,-739.5,444.1500244140625,-1211.2099609375,-149.10000610351562,-73.80000305175781,-1348.666015625,50.400001525878906,229.95001220703125,-1311.6400146484375
15658.834411856,1776084870.469954,37239,105.30000305175781,-71.85000610351562,-1463.615966796875,440.4000244140625,-861.4500122070312,-1473.053955078125,-743.4000244140625,445.3500061035156,-1202.2559814453125,-145.20001220703125,-62.400001525878906,-1335.5980224609375,51.45000076293945,226.35000610351562,-1304.864013671875
15658.836558394,1776084870.4720957,37240,111.1500015258789,-74.55000305175781,-1461.679931640625,450.9000244140625,-865.9500122070312,-1481.0400390625,-742.9500122070312,439.5000305175781,-1198.6259765625,-145.0500030517578,-67.05000305175781,-1345.52001953125,48.750003814697266,231.45001220703125,-1311.39794921875
15658.838688594,1776084870.474229,37241,108.75000762939453,-74.10000610351562,-1458.2919921875,444.3000183105469,-869.550048828125,-1465.552001953125,-736.050048828125,436.5000305175781,-1201.77197265625,-143.40000915527344,-60.45000076293945,-1338.260009765625,52.500003814697266,229.35000610351562,-1299.781982421875
15658.840821563,1776084870.4763424,37242,104.70000457763672,-65.55000305175781,-1461.9219970703125,440.70001220703125,-864.9000244140625,-1477.6519775390625,-740.550048828125,447.9000244140625,-1206.85400390625,-148.0500030517578,-65.55000305175781,-1341.406005859375,52.20000076293945,230.5500030517578,-1305.10595703125
15658.84297064,1776084870.4785101,37243,108.9000015258789,-72.75,-1458.050048828125,442.5000305175781,-863.550048828125,-1468.4559326171875,-747.300048828125,441.45001220703125,-1197.9000244140625,-147.15000915527344,-72.30000305175781,-1341.1639404296875,51.900001525878906,230.10000610351562,-1315.9959716796875
15658.845046453,1776084870.480586,37244,102.45000457763672,-67.6500015258789,-1460.469970703125,450.45001220703125,-858.300048828125,-1464.583984375,-747.75,447.3000183105469,-1198.6259765625,-149.25,-73.80000305175781,-1342.615966796875,58.500003814697266,232.8000030517578,-1305.3480224609375
15658.847194191,1776084870.4827368,37245,109.95000457763672,-68.70000457763672,-1458.533935546875,442.20001220703125,-861.1500244140625,-1470.8759765625,-746.4000244140625,434.2500305175781,-1206.85400390625,-147.45001220703125,-66.0,-1336.8079833984375,54.30000305175781,222.90000915527344,-1308.7359619140625
15658.849347724,1776084870.4848888,37246,102.30000305175781,-69.30000305175781,-1453.6939697265625,446.1000061035156,-862.3500366210938,-1476.4420166015625,-748.2000122070312,439.6500244140625,-1198.6259765625,-143.40000915527344,-68.70000457763672,-1343.8260498046875,55.650001525878906,232.65000915527344,-1311.156005859375
15658.851430885,1776084870.4869735,37247,104.10000610351562,-71.25,-1458.533935546875,438.6000061035156,-856.5000610351562,-1471.3599853515625,-742.2000122070312,445.8000183105469,-1200.0780029296875,-146.85000610351562,-67.6500015258789,-1339.469970703125,47.25,235.0500030517578,-1309.219970703125
15658.853582213,1776084870.4891229,37248,102.45000457763672,-71.85000610351562,-1462.8900146484375,446.8500061035156,-861.6000366210938,-1480.072021484375,-736.9500122070312,445.20001220703125,-1201.530029296875,-152.5500030517578,-72.1500015258789,-1345.2779541015625,38.85000228881836,224.40000915527344,-1306.073974609375
15658.855683368,1776084870.4912276,37249,106.05000305175781,-77.55000305175781,-1460.22802734375,436.20001220703125,-867.300048828125,-1484.6700439453125,-735.6000366210938,439.0500183105469,-1201.77197265625,-143.10000610351562,-62.400001525878906,-1350.843994140625,45.75,218.40000915527344,-1302.927978515625
15658.85777736,1776084870.493317,37250,106.95000457763672,-76.6500015258789,-1456.8399658203125,442.8000183105469,-861.6000366210938,-1473.780029296875,-746.4000244140625,438.6000061035156,-1201.530029296875,-146.70001220703125,-66.60000610351562,-1340.9219970703125,49.05000305175781,232.35000610351562,-1308.010009765625
15658.859913314,1776084870.4954553,37251,105.1500015258789,-68.85000610351562,-1460.469970703125,441.6000061035156,-865.800048828125,-1469.1820068359375,-742.800048828125,436.95001220703125,-1204.1920166015625,-149.5500030517578,-66.1500015258789,-1343.8260498046875,54.30000305175781,228.3000030517578,-1309.219970703125
15658.862033117,1776084870.497573,37252,103.35000610351562,-68.4000015258789,-1463.615966796875,444.0000305175781,-860.8500366210938,-1473.2960205078125,-740.4000244140625,449.2500305175781,-1208.7900390625,-149.25,-68.55000305175781,-1345.52001953125,47.70000076293945,230.85000610351562,-1302.68603515625
15658.864161956,1776084870.4997005,37253,104.55000305175781,-71.85000610351562,-1456.5980224609375,446.5500183105469,-862.2000122070312,-1471.843994140625,-742.3500366210938,439.95001220703125,-1197.416015625,-148.95001220703125,-72.60000610351562,-1336.08203125,54.750003814697266,231.90000915527344,-1313.8179931640625
15658.866265485,1776084870.5018063,37254,103.50000762939453,-70.95000457763672,-1455.387939453125,438.7500305175781,-859.9500122070312,-1477.4100341796875,-742.800048828125,446.70001220703125,-1198.6259765625,-151.95001220703125,-60.45000076293945,-1339.469970703125,49.650001525878906,225.45001220703125,-1309.7039794921875
15658.868427367,1776084870.5039678,37255,102.00000762939453,-70.35000610351562,-1463.8580322265625,443.8500061035156,-856.3500366210938,-1464.583984375,-739.800048828125,438.1500244140625,-1199.8359375,-143.70001220703125,-63.45000076293945,-1337.7760009765625,46.80000305175781,232.65000915527344,-1313.5760498046875
15658.870541754,1776084870.5060852,37256,103.50000762939453,-67.80000305175781,-1454.177978515625,445.95001220703125,-859.5000610351562,-1474.2640380859375,-746.8500366210938,439.5000305175781,-1198.1419677734375,-147.15000915527344,-67.80000305175781,-1341.8900146484375,46.80000305175781,230.25001525878906,-1309.7039794921875
15658.87266333,1776084870.5082054,37257,112.20000457763672,-72.60000610351562,-1457.323974609375,439.20001220703125,-861.0000610351562,-1466.0360107421875,-744.6000366210938,442.3500061035156,-1202.2559814453125,-146.10000610351562,-63.30000305175781,-1350.843994140625,53.10000228881836,232.35000610351562,-1308.010009765625
15658.874745182,1776084870.510289,37258,101.70000457763672,-72.30000305175781,-1457.323974609375,444.1500244140625,-861.6000366210938,-1468.2139892578125,-740.25,445.20001220703125,-1194.27001953125,-149.25,-69.1500015258789,-1344.0679931640625,51.60000228881836,229.65000915527344,-1310.6719970703125
15658.876915339,1776084870.5124567,37259,103.50000762939453,-81.1500015258789,-1456.35595703125,442.5000305175781,-859.800048828125,-1469.907958984375,-738.9000244140625,438.9000244140625,-1198.1419677734375,-147.90000915527344,-60.000003814697266,-1350.60205078125,43.05000305175781,230.70001220703125,-1314.0599365234375
15658.879027927,1776084870.5145688,37260,104.85000610351562,-74.70000457763672,-1456.35595703125,444.0000305175781,-869.4000244140625,-1472.3280029296875,-738.1500244140625,441.45001220703125,-1202.0140380859375,-149.70001220703125,-63.150001525878906,-1354.4739990234375,46.05000305175781,234.3000030517578,-1299.2979736328125
